customer_id,customer_name,segment,region_code,market,country,signup_date
C-0001,Black Mesa Systems,Mid-Market,APAC,Southeast Asia,Singapore,2026-02-10
C-0002,Slate B.V.,SMB,APAC,Japan,Japan,2025-08-10
C-0003,Globex Labs,Enterprise,US,US West,United States,2025-12-18
C-0004,Meridian Holdings,SMB,EU,Southern Europe,France,2025-03-04
C-0005,Soylent Systems,Mid-Market,EU,DACH,Germany,2025-08-03
C-0006,Cybertron Networks,Mid-Market,EU,UK & Ireland,United Kingdom,2026-06-20
C-0007,Vandelay Analytics,SMB,EU,Southern Europe,France,2024-08-10
C-0008,Initech Health,Enterprise,EU,Southern Europe,France,2025-05-10
C-0009,Zenith S.r.l.,Enterprise,US,US West,United States,2025-08-20
C-0010,Aurora Pty Ltd,Enterprise,APAC,Southeast Asia,Singapore,2025-03-26
C-0011,Slate Networks,Mid-Market,EU,DACH,Germany,2025-05-03
C-0012,Meridian Pty Ltd,Enterprise,US,US East,United States,2025-10-26
C-0013,Umbra Holdings,Enterprise,EU,Southern Europe,France,2026-06-15
C-0014,Oscorp Labs,Mid-Market,US,US West,United States,2024-03-09
C-0015,Lumen Logistics 14,SMB,US,US East,United States,2024-08-30
C-0016,Vandelay Logistik GmbH,Mid-Market,APAC,Japan,Japan,2026-03-28
C-0017,Aperture SAS,Mid-Market,US,US Central,United States,2024-12-12
C-0018,Initech Logistik GmbH,SMB,EU,DACH,Germany,2025-12-26
C-0019,Massive Manufacturing,SMB,EU,UK & Ireland,United Kingdom,2025-03-03
C-0020,Acme Labs,Enterprise,APAC,ANZ,Australia,2024-08-16
C-0021,Vandelay Labs,Mid-Market,EU,DACH,Germany,2025-10-08
C-0022,Stark Financial,Mid-Market,APAC,Southeast Asia,Singapore,2024-02-01
C-0023,Black Mesa Retail,Enterprise,US,US East,United States,2025-03-10
C-0024,Tyrell Logistik GmbH,Mid-Market,EU,UK & Ireland,United Kingdom,2024-08-15
C-0025,Cyberdyne Retail,Enterprise,APAC,Japan,Japan,2024-01-17
C-0026,Meridian Analytics,SMB,EU,Southern Europe,France,2024-10-17
C-0027,Zenith Ltd,Mid-Market,US,US West,United States,2026-03-11
C-0028,Massive Pty Ltd,Mid-Market,APAC,Greater China,China,2024-04-16
C-0029,Northwind Energy,Mid-Market,US,US West,United States,2024-03-21
C-0030,Halcyon Group,Enterprise,US,US Central,United States,2025-09-06
C-0031,Kestrel B.V.,Enterprise,US,US Central,United States,2024-10-17
C-0032,Vandelay Energy,SMB,EU,Southern Europe,France,2024-05-13
C-0033,Hooli SAS,Mid-Market,EU,Benelux & Nordics,Netherlands,2024-10-30
C-0034,Cybertron Manufacturing,SMB,US,US East,United States,2025-07-19
C-0035,Soylent Networks,Mid-Market,APAC,Greater China,China,2025-08-01
C-0036,Slate Holdings,Enterprise,EU,DACH,Germany,2026-02-11
C-0037,Soylent Retail,SMB,APAC,ANZ,Australia,2026-03-23
C-0038,Aurora Media,SMB,US,US West,United States,2026-06-15
C-0039,Abstergo Group,Mid-Market,US,US West,United States,2025-11-20
C-0040,Wonka Media 39,Mid-Market,EU,Southern Europe,France,2025-01-01
C-0041,Slate Logistics,SMB,US,US Central,United States,2024-09-24
C-0042,Tyrell Ltd,Enterprise,APAC,ANZ,Australia,2025-06-10
C-0043,Cyberdyne Analytics,SMB,EU,Southern Europe,France,2025-01-25
C-0044,Cybertron B.V.,Enterprise,US,US West,United States,2025-11-14
C-0045,Cybertron Retail,SMB,US,US East,United States,2025-08-03
C-0046,Oscorp Media,Enterprise,APAC,Japan,Japan,2024-08-04
C-0047,Soylent Systems 46,SMB,EU,Benelux & Nordics,Netherlands,2026-03-13
C-0048,Northwind SAS,Mid-Market,EU,Southern Europe,France,2024-12-10
C-0049,Lumen Networks,Enterprise,EU,DACH,Germany,2026-06-24
C-0050,Tyrell SAS 49,Mid-Market,EU,Southern Europe,France,2025-02-20
C-0051,Lumen Logistik GmbH,Mid-Market,APAC,Japan,Japan,2024-05-15
C-0052,Globex Pty Ltd,SMB,EU,Benelux & Nordics,Netherlands,2024-12-05
C-0053,Halcyon Financial,Mid-Market,APAC,Japan,Japan,2024-09-07
C-0054,Hooli Financial,Mid-Market,EU,UK & Ireland,United Kingdom,2024-03-22
C-0055,Stark Logistik GmbH,Mid-Market,EU,UK & Ireland,United Kingdom,2025-08-18
C-0056,Halcyon SAS,SMB,US,US East,United States,2025-03-07
C-0057,Initech Pty Ltd,Mid-Market,EU,Southern Europe,France,2025-03-05
C-0058,Halcyon B.V.,SMB,US,US Central,United States,2026-03-12
C-0059,Lumen Systems 58,Mid-Market,EU,UK & Ireland,United Kingdom,2025-11-21
C-0060,Massive B.V.,Enterprise,EU,DACH,Germany,2024-07-10
C-0061,Tyrell Labs,Mid-Market,US,US Central,United States,2025-10-31
C-0062,Cybertron Financial,SMB,EU,UK & Ireland,United Kingdom,2025-03-31
C-0063,Acme Logistik GmbH,SMB,EU,UK & Ireland,United Kingdom,2025-03-04
C-0064,Vertex Group,SMB,EU,UK & Ireland,United Kingdom,2024-05-31
C-0065,Initech Financial,Mid-Market,EU,DACH,Germany,2024-09-14
C-0066,Zenith Pty Ltd,Mid-Market,EU,DACH,Germany,2025-12-22
C-0067,Vertex Ltd,Enterprise,EU,UK & Ireland,United Kingdom,2025-07-11
C-0068,Stark Ltd,Mid-Market,EU,UK & Ireland,United Kingdom,2024-10-06
C-0069,Wayne Energy,Enterprise,US,US East,United States,2026-03-01
C-0070,Abstergo Holdings,Enterprise,US,US West,United States,2025-04-12
C-0071,Soylent B.V.,Mid-Market,APAC,Greater China,China,2025-04-05
C-0072,Pied Piper Pty Ltd 71,Enterprise,APAC,ANZ,Australia,2024-08-12
C-0073,Vertex S.r.l.,SMB,EU,UK & Ireland,United Kingdom,2026-05-29
